Game,Region,Emulator,Playability,Resolution,Renderer,Notes,Media Links,Tested by,Date Tested:
Growlanser 6,NTSC-J,AetherSX2,Perfect,1x,OpenGL,Runs Great,,Igor Silva,11-23-22
Guitar Hero 3,ALL,AetherSX2,Bad,,,Varies a lot between 60-80% and unfortunately makes the game totally unplayable.,,gui,03-21-23
Gun,NTSC-U,AetherSX2,Playable,1x,Vulkan,NTSC. Slow/unstable preset. Plays decent 30fps with some dips in the 20s,,gtaforever00 ,12-31-22
Gundam: Federation Vs. Zeon,ALL,AetherSX2,Great,1x,Vulkan,This ran nearly flawlessly on the original RP2+/3 at PAL 50fps and now runs flawlessly on the RP3+ at NTSC 60fps.  Partly through the campaign with no real issues.  Run at 0/0,,ChronoReverse,12-30-22
Gungriffon Blaze,PAL,AetherSX2,Perfect,1x,Vulkan,Runs well on optimized defaults.,https://www.youtube.com/watch?v=wgrcOFf2gfg,The Gaming Geek Net,01-17-23
Half-Life,ALL,AetherSX2,Perfect,2x,Vulkan,"Totally playable, 60 fps stable",,Smoje79,12-30-22
Haunting ground,ALL,AetherSX2,Perfect,1.5x,OpenGL,"Requires OpenGL for good performance
edit: Vulkan works well at 1x and has no issues with widescreen.
 OpenGL widescreen causes shadow issues.",,,12-30-22
Hitman - Blood Money,PAL,AetherSX2,Bad,1x,Vulkan,"PAL. EE Cycle Rate: -1, EE Cycle Skip: 2. Runs 70-100%, with frequent dips down to 70-90%. Has graphical glitches with shadows, where they appear bright green or red.",,GongStar,03-21-23
Hitman - Contracts,PAL,AetherSX2,Bad,1x,Vulkan,PAL. Runs 12% in the start menu with in game graphics. Same performance with OpenGL and Vulkan. Runs extremely poorly.,,GongStar,03-21-23
Hot Shots Golf Fore! ,ALL,AetherSX2,Bad,1x,Vulkan,"Menu works, gameplay maxes at 6fps. Tried all resolution options, open gl and as many settings variations as possible",,Vruzy,03-21-23
I- Ninja,NTSC-U,AetherSX2,Great,1.25x,Vulkan,"EE Cycle Rate -1, EE Cycle Skip 0. Game runs great with some very minor slow downs. Most slow downs are when you are rolling on the giant ball very fast.",,Galvy,12-19-22
Ico,ALL,AetherSX2,Great,1x,Vulkan,"EE Cycle Rate 100%, EE Cycle Skip Normal, Multi-Threaded VU1, Instant VU1; Graphics > Threaded Presentation; Advanced > EE FPU Correct Add/Sub. 
NTSC running at 60fps most of the time. PAL running at 50fps most of the time. Occasional stuttering when panning large environments. Will continue to play through.",,domeng,11-25-22
Incredible Hulk: Ultimate Destruction- NTSC,NTSC-U,AetherSX2,Great,1.75x,Vulkan,"EE cycle rate 75%, EE cycle skip 1. Runs at 60fps. 
May get minor slow downs when bashing alot of stuff. ",,Galvy,11-30-22
Indigo Prophesy aka Farenheit ( the PAL version),NTSC-U,AetherSX2,Great,1.25x,Vulkan,"No underclock, very small fps dip when going to a new area but seems to be perfect outside of that!",https://www.youtube.com/watch?v=6IF3_8HTeKY,Retro Game Corps,11-25-22
Inuyasha - Feudal Combat,NTSC-U,AetherSX2,Perfect,1x,Vulkan,Fast Settings Turned On,https://www.youtube.com/watch?v=Do-DbW_gUEc,Jetup13,11-28-22
Jackass: The Game,PAL,AetherSX2,Great,1x,Vulkan,"EE cycle rate 75%, EE cycle skip 1. Runs great, with minimal dips.",https://www.youtube.com/watch?v=YKflqbJWLtY,The Gaming Geek Net,04-14-23
Jade Cocoon 2,PAL,AetherSX2,Great,1.5x,OpenGL,PAL. EE Cycle Rate: -3. Runs mostly 100%. Certain effects/scenes will cause dips into 70%. The cycle underclock is to remove slow down in FMV and doesn't seem to affect the gameplay negatively.,,GongStar,12-30-22
Jak and Daxter  ,PAL,AetherSX2,Playable,1.5x,Vulkan,"EE Cycle rate 2 (180%), EE Cycle Skip 3. Runs full speed with only minor dips. However it is very much underclocked making it look quite sluggish (runs at 25-30fps eventhough the gameplay itself is full speed)",https://www.youtube.com/watch?v=v9UeUacYRts,Yundaz,11-26-22
Jak and Daxter 2,PAL,AetherSX2,Playable,1x,Vulkan,Has some dips at 1.5x in the video and clearly underclocked (look at the video for settings) but the game is reportedly decently playable at 1x. However certain camera angles will lag the game.,https://www.youtube.com/watch?v=YcY5CAeCSi0,Yundaz,11-25-22
Jet Li - Rise to Honor,PAL,AetherSX2,Perfect,1.5x,Vulkan,"Fast Settings, runs perfectly on 1.5x, sometimes could be pushed up to 2x with minor slowdowns during cutscenes.",,Mike22,12-30-22
Jojo no Kimyou na Bouken - Phantom Blood,NTSC-J,AetherSX2,Perfect,1x,Vulkan,Fast Settings Turned On,,Jetup13,12-16-22
Kamen Rider Hibiki,NTSC-U,AetherSX2,Playable,1x,Vulkan,Some Slowdown during the opening.,,Jetup13,
Katamari Damacy,NTSC-U,AetherSX2,Playable,1x,Vulkan,"EE Cycle Rate - 300%, EE Cycle Skip - 3, Affinity Control Mode - Performance Cores, Hardware Download Mode - Unsynchronised, Threaded Presentation - Enabled. NTSC-U Note: Frames drop to around 20fps in busy scenes, emulation speed should remain around 100% however.",,ChronoReverse & BigSludge,12-30-22
Kill.switch,NTSC-U,AetherSX2,Great,1.5x,Vulkan,"EE Cycle Rate -2, EE Cycle Skip 1. Advanced Settings> set Interlacing to ""Weave Top Field First"". The reason for this is that the menus will flicker so much you cannot read anything. This fix works great and does not affect game play. The game plays great as well.",,Galvy,12-19-22
Killzone,PAL,AetherSX2,Somewhat,1x,Vulkan,"PAL. Runs 75-100%, with some dips. Underclock still feels a bit slow.",,GongStar,03-21-23
King of Fighters 2002,NTSC-U,AetherSX2,Bad,1x,Vulkan,Major Graphical Glitches,,Jetup13,11-25-22
King of Fighters XI,ALL,AetherSX2,Perfect,1x,,Runs perfectly,,,03-21-23
King of Fighters: Maximum Impact,PAL,AetherSX2,Perfect,1x,Vulkan,Runs 100% consistently on Optimal Settings.,,LemonyFlavor,03-12-23
Kingdom Hearts,ALL,AetherSX2,Perfect,3x,Vulkan,"Played up to Traverse Town, game runs full speed at 3x resolution somehow! 

(FruitLoops Note: Even at 1x I was getting fps problems until I turned on Fast Settings then the game performance SKYROCKETTED). You can set the underclock settings to 0/0 afterwards if you dont want the game to look sluggish after setting fast settings.)",,vllgr,11-27-22
Kingdom Hearts - Re:Chain of Memories,NTSC-J,AetherSX2,Perfect,1x,Vulkan,"Fast Settings Turned On. FMVs are a bit slow but gameplay is basically perfect.

(Note from  Cristoffer: Game Fixes->Use Software Renderer for FMVs: Enabled, will remove the stutters from FMV, at least it does for the intro.

I realized though that putting the pause menu on an FMV will return you to the normal renderer and it will be very sluggish.)",,Jetup13,11-30-22
Kingdom Hearts 2,ALL,AetherSX2,Perfect,1x,Vulkan,"Amazing, sticks between 29 and 30 fps the entire time, no tweaks, even flying in gummi ship is fine, occasional minor graphical glitch I've noticed but nothing too bad or frequent, might not even be noticeable",,,11-30-22
Kingdom Hearts 2: Final Mix,NTSC-J,AetherSX2,Perfect,2x,Vulkan,"Runs pretty well, steady 60fps most of the time. In cutscenes, during crossfade transitions it stutters a bit. Setting Hardware Download Mode to Unsynchronized helps with these stutters. Also setting Audio to Async mix helps with audio stutters during those dips. (NTSC-J)",,Mike22,12-30-22
Kings Field IV: The Ancient City,PAL,AetherSX2,Great,1x,Vulkan,"Default Settings, Enabled Threaded Presentation, Vulkan Render and Enabled No Interlacing Patches. The game also has working widescreen patches. The game runs at 100% speed at all times. The only issue is when you open your menu it screenshots the game to use as the BG and this doesn't render correctly. This however is still a issue on desktop PCSX2 and has no fix. You can go into the options in game and change the bg to not use a screenshot and this will fix that issue.",https://www.youtube.com/shorts/bodYa2Fgd1U,PixogenPixels,03-12-23
Klonoa 2,NTSC-U,AetherSX2,Somewhat,1x,Vulkan,"Change EE Cycle Rate 60%, EE Cycle Skip Moderate, Normal Speed 120%, & Threaded Presentation On.",,Jetup13,11-26-22
Legacy of Kain - Defience,PAL,AetherSX2,Great,1x,OpenGL,Runs Great. Only frame dips on the opening cgi. The rest is full speed.,,Igor Silva,11-30-22
Legaia 2,NTSC-U,AetherSX2,Great,1x,OpenGL,Runs fine on the overworld in the PAL version. Battles not tested yet because It takes some time to unlock the first one.,,Igor Silva,11-30-22
Lego Racers 2,NTSC-U,AetherSX2,Bad,1x,Vulkan,Major Graphical Glitches,,Jetup13,11-25-22
"Lord of the Rings, The - The Fellowship of the Ring",PAL,AetherSX2,Perfect,2x,Vulkan,PAL. Runs 100%.,,GongStar,03-21-23
"Lord of the Rings, The - The Two Towers",PAL,AetherSX2,Great,1x,Vulkan,"PAL. EE Cycle Rate: -1, EE Cycle Skip: 1. Runs 100% with a mild underclock. Some little dips can occur.",https://www.youtube.com/watch?v=lj_mWdywrwE,GongStar,03-21-23
Lord of the Rings: Return of the King,ALL,AetherSX2,Great,1x,Vulkan,"Runs pretty well, steady 60fps most of the time with fast settings. There is a glitch with some text in the menus that are invisible but everything else is good.",,Charlyb07,03-21-23
Lord of the Rings: The Third Age,PAL,AetherSX2,Playable,1.25x,Vulkan,"The game is playable with EE Cycle Rate: -1, EE Cycle Skip: 1, Hardware Download Mode: Unsynchronized. There are occasional framerate drops during transitions and before attack animations. Don´t try widescreen patches on this one, they slow the game down a lot, including FMV´s. Don´t push EE Cycle Rate and EE Cycle Skip Rate too much, past -2/2 the game starts to feel very choppy. (PAL)",,Mike22,12-30-22
Lumines Plus,NTSC-U,AetherSX2,Perfect,1x,,Fast Settings Turned On,,Jetup13,11-30-22
Mana Khemia 1,NTSC-U,AetherSX2,Perfect,1x,OpenGL,Runs Great,,Igor Silva,11-27-22
Mana Khemia 2,NTSC-U,AetherSX2,Perfect,1x,OpenGL,Runs Great,,Igor Silva,11-26-22
Manhunt,PAL,AetherSX2,Great,1x,Vulkan,EE Cycle Skip 1. The Sleep mode trick reduces dips (https://www.youtube.com/watch?v=c09JUOzWSo4) but there will still be a few.,https://www.youtube.com/watch?v=d_glNx7tFzY,The Gaming Geek Net,03-02-23
Max Payne,PAL,AetherSX2,Great,1x,Vulkan,"EE Cycle Skip 1, set Hardware Download Mode to Disable Readbacks. Great performance with minimal dips.",https://www.youtube.com/watch?v=YKNS_sg8U8I,The Gaming Geek Net,09-04-23
Maximo,PAL,AetherSX2,Great,1x,Vulkan,Opening Area runs perfect! Zero dips below 100% whatsoever. However it is unknown if performance gets worse after that. Still a very strong first impression though!,,Mjolnirstone,11-28-22
Maximo vs Army of Zin,PAL,AetherSX2,Great,1.5x,Vulkan,PAL. Runs 100%. It can sort of run at 2x but there are dips into low 90% and perhaps it could get worse depending on the scene/battle.,,GongStar,12-30-22
Medal of Honor,PAL,AetherSX2,Playable,1x,Vulkan,"EE cycle rate - 2, really debating on whether or not i'd consider this playable or only ""somewhat"". The game is running at 100% with the underclock but it looks very sluggish and the intro apparently had a lot of slowdown. Future areas may be much more demanding.",https://www.youtube.com/watch?v=OFBGg9E7Gzw,Mjolnirstone,11-25-22
Medal of Honor: Frontline,PAL,AetherSX2,Great,1x,Vulkan,EE Cycle Skip 1. Runs great.,https://www.youtube.com/watch?v=zVBQc_RCLUU,The Gaming Geek Net,03-27-23
Mercenaries,NTSC-U,AetherSX2,Great,1.5x,Vulkan,"Manages to achieve 90-100% speed, all text in game is readable and all voices sound perfect, only dips in performance are when the huge explosions happen, but not much affects it. - Used (USA) rom.",,Paul Pollington,12-30-22
Mercenaries: Playground of Destruction,PAL,AetherSX2,Playable,1x,Vulkan,"EE Cycle Rate -1, EE Cycle Skip 1. Do the Sleep mode trick to reduce dips (https://www.youtube.com/watch?v=c09JUOzWSo4). Some glitching with headlights passing through objects and occasional lags, but generally locked at 100% speed.",https://www.youtube.com/watch?v=2S8TIAV6QDs,The Gaming Geek Net,04-10-23
Metal Arms - Glitch in the System,PAL,AetherSX2,Great,2x,Vulkan,"PAL. EE Cycle Skip: 2. Runs 100%. Only checked out the start, if performance dips, lower the resolution.",,GongStar,12-30-22
Metal Gear Solid 2: Sons of Liberty,PAL,AetherSX2,Somewhat,1x,Vulkan,(Runs about the same as Substance. Occasionally hits 100% speed but usually is running at about 70-80%.,,C.Mongler,11-27-22
Metal Gear Solid 2: Substance,NTSC-U,AetherSX2,Somewhat,1x,Vulkan,Can dip as low as 40fps. Device gets warm. PAL recommended most likely,,Jetup13,11-08-22
Metal Gear Solid 3: Snake Eater,NTSC-U,AetherSX2,Playable,1x,Vulkan,EE Cycle -2. 50-60 fps in opening area (the opening area should theoretically be very demanding and a good benchmark for the rest of the game due to the high amount of foliage). PAL version will most likely greatly improve gameplay experience.,,roofpooper,11-25-22
Metal Saga,NTSC-J,AetherSX2,Perfect,2x,Vulkan,"Game runs perfectly without any slowdown, tested the Japanese version of the game",,,12-30-22
Midnight Club 3: DUB Edition,NTSC-U,AetherSX2,Somewhat,1x,Vulkan,"NTSC.  Fast/Unsafe settings. EE Cycle Rate -1, EE Cycle Skip 2 it was running 1
0-15 in game FPS.  First person camera was slightly better but things seemed slow",,gtaforever00,12-30-22
Mister Mosquito,NTSC-U,AetherSX2,Playable,1x,Vulkan,Fast Settings On. Has some graphical glitches.,,Jetup13,11-25-22
MLB 11: The Show,PAL,AetherSX2,Playable,1x,Vulkan,"EE Cycle Rate -1, EE Cycle Skip 2, set audio Synchronization mode to Async Mix and Hardware Download Mode to Disable Readbacks. Has some dips in the regular modes, which are more frequent in the special game modes (e.g. Manager's Mode, Road to the Show).",https://www.youtube.com/watch?v=KNPSicFW0Dw,The Gaming Geek Net,06-10-23
MLB Power Pros 2008,ALL,AetherSX2,Perfect,1x,Vulkan,Game works perfectly fine at full speed,,raheemh,03-21-23
Monster Hunter,NTSC-U,AetherSX2,Perfect,1x,Vulkan,Fast Settings Turned On,,Jetup13,11-27-22
Monster Rancher 4,PAL,AetherSX2,Perfect,1.5x,Vulkan,PAL. Runs 100%.,,GongStar,12-30-22
Mortal Kombat - Deadly Alliance,NTSC-U,AetherSX2,Perfect,1x,Vulkan,Fast Settings Turned On,,Jetup13,11-25-22
Mortal Kombat - Deception,NTSC-U,AetherSX2,Perfect,1.75x,Vulkan,No tweaks needed. Runs great,,Galvy,12-19-22
Mortal Kombat - Shaolin Monks,ALL,AetherSX2,Playable,1x,Vulkan,"EE loop skip - 1. 52-60 fps, PAL version might run full speed all the way?",https://www.youtube.com/watch?v=5b1xeCy9HZw,Retroid Youtube,11-16-22
Mortal Kombat Armageddon,NTSC-U,AetherSX2,Perfect,1x,Vulkan,"Flawless in Konquest, Kombat and Kart. NTSC",,Kirbysuperstar,12-30-22
Namco Museum 50th Anniversary,ALL,AetherSX2,Playable,1x,Vulkan,"Game selection screen can dip to ~62% (37 FPS) when looking at Pole Position to Dig Dug. The games themselves run fine, otherwise.",,PANICMOUSE,03-21-23
Nanobreaker,NTSC-U,AetherSX2,Somewhat,1x,Vulkan,"NTSC. Performance in the starting area seemed to hover anywhere between
70% to 100% in the starting area (depending on the amount of blood staining
 the ground), regardless of what settings were used. 

Very minor improvements through underclocking. OpenGL boosts performance a
little, but results in some graphical glitches with smoke. Likely to be playable/great
if using the pal version.",,Neonetik,12-30-22
Naruto - Ultimate Ninja,NTSC-U,AetherSX2,Playable,1x,Vulkan,Fast Settings Turned On. FMVs are a bit slow but gameplay is basically perfect.,,Jetup13,12-06-22
Naruto Shippuden - Ultimate Ninja 5,PAL,AetherSX2,Great,1.5x,Vulkan,PAL. Runs 100%. Tested in a Free Battle with Naruto vs Naruto.,,GongStar,03-21-23
NBA 2K12,PAL,AetherSX2,Playable,1x,Vulkan,"EE Cycle Rate -1, EE Cycle Skip 2, set Hardware Download Mode to unsynchronized. Cutscenes can be below 100% but the gameplay itself is 100% with occasional dips.",https://www.youtube.com/watch?v=zWrGhdU9LBk,The Gaming Geek Net,01-16-23
NBA Street,PAL,AetherSX2,Great,1x,Vulkan,EE Cycle Skip 1. Plays at 100% with minimal framerate dips,https://www.youtube.com/watch?v=m2Jb54mxxCM,The Gaming Geek Net,12-30-22
NBA Street Vol 3,ALL,AetherSX2,Great,2x,Vulkan,EE Cycle Rate 75%(-1) EE Cycle Skip 1,,StayThePath,03-21-23
Need for Speed - Hot Pursuit 2,PAL,AetherSX2,Playable,1.5x,Vulkan,"EE Cycle Rate: -1, EE Cycle Skip: 2. Hardware Download Mode: Unsynchronized. Runs 100% although a bit choppy. At 1x it seemed to run well until I got to a certain part of the track where it dipped down to 50-60%. Underclocking fixed this but at that point you could increase resolution to 1.5x.",, GongStar,
Need for Speed - Underground,NTSC-U,AetherSX2,Bad,1x,Vulkan,Lots of Slowdown,,Jetup13,11-28-22
Need for Speed: Most Wanted,PAL,AetherSX2,Great,2x,Vulkan,"PAL. Game runs perfect at 1x or 2x resolution, makes no difference, 30 fps throughout.",,Paul Pollington,12-30-22
Need for Speed: Underground 2,PAL,AetherSX2,Playable,1x,Vulkan,EE Cycle Skip 1. Races start slow but will hit 100% after a while. Occasional framerate dips in Explore mode.,https://www.youtube.com/watch?v=s8rSv45Uyhk,The Gaming Geek Net,01-09-23
NFL Street,PAL,AetherSX2,Playable,1x,Vulkan,"EE Cycle Rate -1, EE Cycle Skip 2, set audio Synchronization mode to Async Mix and Hardware Download Mode to Unsynchronized. Has some dips but very playable.",https://www.youtube.com/watch?v=23p2tq326es,The Gaming Geek Net,06-10-23
NHL Hitz Pro,NTSC-U,AetherSX2,Great,1x,Vulkan,EE Cycle 180% EE Skip 1. Widescreen patches. Little bit of slowdowns.,,Rocco,03-14-23
Obscure,PAL,AetherSX2,Great,1.5x,Vulkan,"Runs very well with safe settings with occasional minor slowdowns during intensive scenes. Setting EE Cycle Rate: -1, EE Cycle Skip: 1 helps, or you could try to lower resolution to 1.25x or 1x. (PAL)",,Mike22,12-30-22
Obscure 2,PAL,AetherSX2,Great,1.5x,Vulkan,Runs well on safe settings. Setting EE Cycle Rate: -1 and EE Cycle Skip: 1 has no particular side effects and might help with potentional framerate dips. There are some very minor geometry glitches. (PAL),,Mike22,12-30-22
Odin Sphere,NTSC-U,AetherSX2,Great,1.5x,Vulkan,"Safe settings as a base, Hardware Download Mode Unsynchronised, Threaded Presentation On, works fine up to 1.5x (NTSC)",,Mike22,12-30-22
Okami,NTSC-U,AetherSX2,Playable,1x,Vulkan,"Some slowdown to 22-25fps in large areas and areas with lots of fire or fog 
environmental effects. Outside of those areas, runs 90%+ and even 1.25x 
resolution seems decent. Overall playable.",,Anonymous,12-30-22
Oni,PAL,AetherSX2,Playable,1.5x,Vulkan,"EE Cycle Rate: -2. FMV runs at 80-100%. Start menu runs at 20-30%. Mission intro screen at 5-10%. Gameplay runs at 100%. Adding, Hardware Download Mode: Unsynchronized, will make the game run well up to 3x but effects like lights can be seen through walls then.",,GongStar,12-30-22
Onimusha - Warlords,NTSC-U,AetherSX2,Great,1x,Vulkan,Fast Settings Turned On,,Jetup13,11-30-22
Onimusha 2,PAL,AetherSX2,Great,1.5x,Vulkan,"PAL. NTSC should work fine too, though maybe at a lower resolution",,Jelzer,03-21-23
Onimusha 3: Demon Siege,ALL,AetherSX2,Bad,1x,Vulkan,"Slow in both gameplay and in-game cinematics. I started on fast settings, but messing up with EE Cycle Rate and EE Cycle Skip causes general slowdown and audio desynchronisation. In gameplay it runs at about 50 fps. Too slow to  enjoy. PAL version is just as slow.",,Mike22,12-30-22
Outrun 2006,PAL,AetherSX2,Great,1.5x,Vulkan,"Threaded Presentation: Enabled. Hardware Download Mode: Unsynchronized. EE Cycle Skip: 2 (Normally the game runs 100% without this but if you drive into sand in certain places it can cause the game to dip to around 80%).
Game runs well at 1.5x but going up to 2x can once again cause dips when driving into sand even with Cycle Skip 2.",,Cristoffer,01-03-22
Parappa the Rapper 2,PAL,AetherSX2,Great,1x,Vulkan,"There will be a giant left black box that will take the form of a bunch of noodle-like shapes when you start a game. To fix this, go to in-game settings and enable ""Disable Depth Emulation"". EE Loop Skip 2. Set Audio to Asynchronous mode.

The game will run at 40-50fps with the game saying that its running at 80% however Audio/Timing doesn't actually get affected and the game feels very smooth so don't worry about it.",,FruitLoops,11-08-22
Persona 3: FES,ALL,AetherSX2,Perfect,1x,Vulkan,"Runs Great!
(Christoffer Cortes Sjöwall note - OpenGL. On the final boss of the first block in Tartarus, the game slows down for some reason. The slow down only happens in Vulkan even at 1x. OpenGL handles it fine and the performance of the two is otherwise comparable.)",,CMongler,12-30-22
Phantasy Star Generation 1,ALL,AetherSX2,Perfect,1.5x,Vulkan,Runs Great!,,Yoona,12-04-22
Phantasy Star Universe,PAL,AetherSX2,Great,1x,OpenGL,"Runs Great. Some small frame dips here and there, but nothing major",,Igor Silva,11-27-22
Phantasy Star Universe - AotI,PAL,AetherSX2,Great,1x,OpenGL,"Runs Great. Some small frame dips here and there, but nothing major",,Igor Silva,11-26-22
Playboy the Mansion,PAL,AetherSX2,Perfect,1.5x,Vulkan,Works perfectly! No over/underclock needed or special settings.,,TrillTrappin#5190,03-29-23
Prince of Persia - The Sands of Time,PAL,AetherSX2,Perfect,1.5x,Vulkan,The game runs perfectly fine on safe settings. On latest AetherSX2 alpha (1.5-3460) you can push it to 1.5x with FXAA shader with only very minor dips in extremely intensive scenes. (PAL),,Anonymous,12-30-22
Prince of Persia - The Two Thrones,PAL,AetherSX2,Playable,1.5x,Vulkan,"Game has many slowdowns on safe settings even on 1x.Setting Hardware Download Mode: Unsynchronized helps with the performance, but introduces occasional graphical glitches (black screen), it´s most notable on main menu. With EE Cycle Rate: -1 you can push it to playable 1.5x ",,Mike22,12-18-22
Prince of Persia - Warrior Within,PAL,AetherSX2,Playable,1x,Vulkan,"Tested first effect heavy gameplay segment on ship. EE Cycle Rate: -1, EE Skip Rate 1, setting Hardware Download Mode to anything but accurate causes annoying rendering glitches that blocks view. Not playable past 1x",,Mike22,12-18-22
Pro Evolution Soccer 3,PAL,AetherSX2,Perfect,1x,Vulkan,"EE Cycle Rate -1, EE Cycle Skip 1. Intro movie only runs at 50% but the game runs at 100% with infrequent framerate dips",https://www.youtube.com/watch?v=LE_NCT21BT0,The Gaming Geek Net,12-27-22
Project Zero (Fatal Frame),PAL,AetherSX2,Perfect,1x,Vulkan,EE Cycle Skip 1. Hardware Download Mode must be on accurate for the camera to take pictures and detect anomalies,https://www.youtube.com/watch?v=hdjxsD3ye3k,The Gaming Geek Net,03-09-23
Psi-Ops Mindgate Conspiracy,NTSC-U,AetherSX2,Great,1.75x,Vulkan,"EE Cycle Rate -2, EE Cycle Skip 2. Runs very well with very minor dips  during shootuts (sometimes). If you choose to use Open GL which I do not recommend, you will need enable Skipdraw 3 up and 3 down.",,Galvy,12-19-22
Psychonauts,ALL,AetherSX2,Playable,1.5x,Vulkan,"EE Cycle Skip: 2. Hardware Download Mode: Unsynchronized. Threaded Presentation: Enabled. TC Offset X/Y: 180/200 (To fix glowing highlight).

Runs 100% in gameplay. Brining up the menu is really laggy and will drop to around 14% during the animation. Once you are in the menu though it's back to 100%.

Due to the nature of the underclocked PS2 the game FPS is overall kinda low (averages around 20-25 fps in demanding-ish areas), gameplay itself is full speed but it is very choppy and noticeably underclocked.",,Jetup13,11-08-22
R-Racing Evolution,NTSC-U,AetherSX2,Bad,1x,Vulkan,Fast Settings On. Lots of FPS drops (as low as 50% speed),,Jetup13,11-30-22
R-Type Final,PAL,AetherSX2,Great,1.25x,Vulkan,"EE cycle rate 75%, EE cycle skip 2. Runs at 50fps and 100% speed. May get minor slow down on large boss battle. Only happened once to me.",,Galvy,11-30-22
Radiata Stories,NTSC-U,AetherSX2,Somewhat,1x,Vulkan,"Lots of FPS drops, not super enjoyable but technically playable.",,Jetup13,11-30-22
Ratchet & Clank,ALL,AetherSX2,Playable,1x,Vulkan,"EE Cycle Rate - 130%, EE Cycle Skip - 1, Affinity Control Mode - Disabled, Multi-Threaded VU1 - Enabled, Threaded Presentation - Enabled. (NTSC-U). 

Game performance is very good however the cycle skipping makes the frame pacing of the game choppy making it not as enjoyable but still more than playable.",,UnbelievableFlavour,12-30-22
Ratchet & Clank 2,PAL,AetherSX2,Great,1x,Vulkan,"EE Cycle Rate 130%, EE Cycle Skip 1. Great performance with minimal dips",https://www.youtube.com/watch?v=Cb5G9rvH6AY,The Gaming Geek Net,04-07-23
Ratchet and Clank 3,PAL,AetherSX2,Playable,1x,Vulkan,"EE Cycle Rate - 130%, EE Cycle Skip - 1, Affinity Control Mode - Disabled, Multi-Threaded VU1 - Enabled, Hardware Download Mode - Unsynchronised, Threaded Presentation - Enabled. (NTSC-U). 

Game performance is very good however the cycle skipping makes the frame pacing of the game super choppy making it not as enjoyable but still more than playable.",,BigSludge,12-30-22
Rayman 2 Revolution,ALL,AetherSX2,Perfect,1x,Vulkan,Runs perfect! No underclock!,https://www.youtube.com/watch?v=zsNTOEUQ8m8,Retroid Youtube,11-25-22
Rayman 3 - Hoodlum Havoc,NTSC-U,AetherSX2,Perfect,1.5x,Vulkan,"Game runs nicely, mostly full speed on safe settings.You can push it to 1.5x with FXAA easily.",,Mike22,12-18-22
RC Revenge Pro,PAL,AetherSX2,Great,2x,Vulkan,"Blending Accuracy must be set to ultra or the rain is broken. Runs great, no dips in FPS noticed after 20 mins of gameplay.",,ConnorD,
Red Dead Revolver,PAL,AetherSX2,Perfect,1.5x,Vulkan,PAL. Hardware Download Mode: Unsynchronized. Runs 100%.,,GongStar,12-30-22
Resident Evil 4,PAL,AetherSX2,Perfect,1x,Vulkan,"PAL.  Runs perfectly well, with 0 adjustments. Remember to hold down Triangle and X buttons while booting to run the game with progressive scan enabled.",,Ric Flair,03-21-23
Resident Evil Code Veronica,PAL,AetherSX2,Great,1x,OpenGL,Runs Great,,Igor Silva,12-14-22
Resident Evil Outbreak 1,PAL,AetherSX2,Great,1x,OpenGL,Runs Great,https://www.youtube.com/watch?v=N39rE2v_Mm0,Igor Silva,12-04-22
Resident Evil Outbreak 2,PAL,AetherSX2,Great,1x,OpenGL,Runs Great,,Igor Silva,12-04-22
Resident Evil: Dead Aim,PAL,AetherSX2,Great,1x,Vulkan,EE Cycle Skip - 1. Runs great.,https://www.youtube.com/watch?v=g7Y_G8WGRgE,The Gaming Geek Net,03-21-23
Resident Evil: Dead Aim,ALL,AetherSX2,Playable,1.5x,OpenGL,"
Run 80-100% frame rate drop both opengl and vulkan when lots of zombies. With a wide area like a hall, adjusting the resolution x1 doesn't help. Run normally in a narrow room with a few zombies. 
Can play until the end of the game",,jitakorn doungin,03-21-23
Ridge Racer V,NTSC-U,AetherSX2,Bad,1x,Vulkan,Lots of Slowdown,,Jetup13,11-25-22
Rise to Honor,NTSC-U,AetherSX2,Perfect,1.5x,Vulkan,"Fast Settings, runs perfectly on 1.5x, sometimes could be pushed up to 2x with minor slowdowns during cutscenes.",,Mike22,12-30-22
Robot Alchemic Drive,ALL,AetherSX2,Perfect,1x,Vulkan,"Ran great with Vulkan and default settings, probably room for optimization.",,Taisuru,12-30-22
Rocky Legends,PAL,AetherSX2,Great,1x,Vulkan,"EE Cycle Rate 130%, EE Cycle Skip 1. Stays at 95%-100% with occasional dips.",https://www.youtube.com/watch?v=Pf5uBotyhTQ,The Gaming Geek Net,01-23-23
Rogue Galaxy,NTSC-U,AetherSX2,Playable,1.25x,Vulkan,"Hardware download mode needs to be set to Unsync and use -2 underclock and -3 cycle skip
Async Audio turned on to improve audio stutter/quality when theres the occasional slowdown",https://www.youtube.com/watch?v=zBGnFl8MXps,Jelzer,11-25-22
Rogue Trooper,NTSC-U,AetherSX2,Bad,1x,Vulkan,Even with max underclocking and .05x resolution this game runs at 15 fps and 40% speed at best.,,Galvy,12-14-22
Rule of Rose,NTSC-U,AetherSX2,Great,1x,Vulkan,No issues. Widescreen patches work as well.,,datgoodnooch,12-30-22
Rumble Roses,NTSC-U,AetherSX2,Somewhat,1x,Vulkan,Graphic Settings > Hardware Download Mode > Accurate to fix graphical errors. FPS drops to 45/60 during some angles/moves,,Jetup13,11-27-22
